name,lat,lng,region,grade,crag,lists,description,url
Crib Lem Spur (Llech Ddu Spur),53.15250,-3.99500,Gwynedd,Grade-1,Llech Ddu (Black Slab),british_3_star+ew_classics+ridges_ewi,"Grade 1 scramble · Llech Ddu (Black Slab) · ★★★

The scramble starts above Llech Ddu. Gain it by ascending into Cwmglas Bach then cutting back left along a ramp to arrive above the crag. From here simply follow the ridge up. Some obstacles can be avoided. The ridge soon merges with the summit slopes. Walk up these to reach the top of Carnedd Dafydd

Rockfax: An amazing scramble up a remote ridge that has a real adventurous feel to it. It can be linked with the Cwm Llafar Horseshoe for a full day or you can return down the ridge above Afon Llafar. Although generally north-facing, the spur dries quickly and its popularity has kept the lichen at bay. Start below the crag. Go up towards the left-hand waterfall and wind your way up to the right of Llech Ddu into an upper cwm. Pick out a vague path that leads leftwards towards a small shoulder by a quartz band. Traverse here to the start of the true Crib Lem Spur.
1) Dependent on conditions, you can head up direct (harder) or work back right from just past the base of the spur to gain the top of the first rise (easier, especially in the damp). 
2) Go direct up the rib and either over, or around, the classic table-top.
3) From the table, the ridge steepens up again. Climb it direct to where it starts to peter out. A vague path leads up to the summit of Carneddau Dafydd.
Descent - Go north and pick up the ridge that leads down to Mynydd Du. From the end of this ridge you can pick up the path you used to approach the route. Alternatively you can follow the Cwm Pen Llafar Horseshoe.",https://www.ukclimbing.com/logbook/crags/llech_ddu_black_slab-502/crib_lem_spur_llech_ddu_spur-51006
Crib Y Ddysgl - Crib Goch Traverse,53.07600,-4.05573,Gwynedd,Grade-1,Crib Goch,ridges_ewi,"Grade 1 scramble · Crib Goch · ★★★

Rockfax: Crib Goch is one of the finest ridge scrambles in the UK. It is popular but shouldn't be taken lightly since it has some difficult sections and some very exposed terrain on which even experienced scramblers can struggle. It is best saved for perfect conditions when it is dry and the winds are light. The two hardest sections are the start up the East Ridge of Crib Goch and the first step on Crib y Ddysgl. From Pen y Pass, head to the top right corner of the carpark to where The PYG Track starts. Follow this up across some rocky steps and through boulders before it starts to curve back round to the right towards a steepening. This steepening starts as a flight of rock steps and soon turns back to a rocky path that ascends to Bwlch y Moch. From here leave the main track and follow the path signed 'Crib Goch'. Follow this up a rounded rib passing some rocky steps to reach the base of the East Ridge of Crib Goch.
1) This marks a clear transition from walking to rocky scrambling. On the left side of the base of the East Ridge is a short wall and some flakes. Climb these to pass the initial wall and head right to below another step. See photo right. 
2) A gully in the middle of this leads to another terrace with a wall above. 
3) The smooth corner on the right is the most popular option for this next step. After this the ridge opens out and it is a case of following your nose up the exposed and open rib. The best thing is to stick to the crest where you get the best exposure and a few smaller, easier but exposed steps.
4) Fairly quickly you reach a small bay between the East and North Ridges of Crib Goch, just below the start of the impressive crest of the knife-edge ridge. 
5) Traversing the exposed crest of the ridge is not as hard as what you have done, but it is extremely exposed and inescapable. A fall from here would be very serious so take your time and don't slip. Most people use the crest as a handrail. The true summit comes a little after a quartz band.
6) From the summit, stick more to the left side of the ridge and descend below the first and second pinnacle towards a tight col (the pinnacle's are possible but usually avoided).
7) At the narrow saddle between the second and third pinnacle, move round to the right side of the ridge where a wildly exposed rising gangway leads over the pinnacle and then down more easily to the other side to Bwlch Coch.
Descent into Cwm Uchaf - This is the first point on the ridge where you can escape if you are finding the going too tough, or the weather is changing. The descent right into Cwm Uchaf is the easiest (overview p.104).
8) Continue along the ridge and the path levels out and becomes much easier until you reach the first tower that guards access to Crib y Ddysgl. Don't be tempted to head left and try to avoid the next section since that will lead to difficulties. (See inset topo on opposite page).
9) Climb up and head right along a break to gain the very edge of the tower with views down into Cwm Uchaf. Now follow a hidden ramp up to a notch. Head through this then traverse left to below a bay and climb the steep juggy corner on good holds to the top of the tower.
10) Head along the ridge to gain the base of another exposed rocky knife-edge ridge section. The best way is to stick close to the crest mainly on its right-hand side and head up past some interesting rock polygon formations, similar to the Giant's Causeway. This section can be avoided on the right at a similar difficulty level on looser ground, but with slightly more shelter should the wind have picked up.
11) A large cairn marks the end of this section and the junction with the top of The Parson's Nose coming in from the right. If you are reversing this route, take care not to follow the ridge down to The Parson's Nose since that is definitely not a descent route.
12) From here the ridge continues much more easily and you soon reach the summit of Garnedd Ugain which has a commanding view of Snowdon and the surrounding area. It is often preferable to eat your lunch here since the summit of Snowdon is likely to be busy with crowds that can number in the hundreds around the summit.
13) Descend to the Llanberis Path and follow this left to the summit of Snowdon. 
Descent - Descend The PYG Track or The Miner's Track or The Llanberis Path if you caught a taxi to Pen y Pass.",https://www.ukclimbing.com/logbook/crags/crib_goch-2032/crib_y_ddysgl_-_crib_goch_traverse_summer-50999
Cyfrwy Arete (Cadair Idris),52.69925,-3.90829,Gwynedd,D,Cadair Idris - Penygadair,ew_classics+ridges_ewi,"Difficult (easy rock climb) · Cadair Idris - Penygadair · ★★★

Rockfax: A true mountaineering outing that takes on the ridge that ascends to the spectacularly positioned 'The Table' and then continues to the top of Cyfrwy itself via more exposed and interesting climbing. Although very popular and well travelled, there is still a good amount of loose rock that requires careful handling especially if there are parties below. From Llyn y Gadair go up scree to the left of a band of cliff and then make a long traverse across scree and grass above it to the start of the climb. 
1) 30m. Climb an arete and then move right to climb a corner. Belay above the corner at an easing in angle.
2) 20m. Continue with care up the blocky arete to The Table.
3) 10m. Awkwardly down climb to the notch and then go left to a belay next to a pinnacle.
4) 18m. Climb the rib above the pinnacle via good cracks and holds to a belay at a small pinnacle and ledge. A magnificently positioned pitch.
5) 14m. Climb up onto a big ledge and then up a steep wall via a right-to-left weakness to a large belay ledge.
6) 25m. Move along the ridge to a short chimney that leads up past some wedged blocks to easier ground.
7) 200m. Scramble up the easier section of arete, mainly on its left, to the top.",https://www.ukclimbing.com/logbook/crags/cadair_idris_-_penygadair-13781/cyfrwy_arete_summer-33469
Cyfrwy Arete Variation (Cadair Idris),52.70000,-3.90900,Gwynedd,Grade-3,Cadair Idris - Penygadair,british_3_star,"Grade 3 scramble · Cadair Idris - Penygadair · ★★★

Rockfax: This variation on Cyfrwy Arete has all the appeal and exposure of the parent line but it avoids the tricky crack on pitch 4. From below crack, escape leftwards around the rib and up a slabby gully to rejoin the line above the crack.",https://www.ukclimbing.com/logbook/crags/cadair_idris_-_penygadair-13781/cyfrwy_arete_variation-602546
Daear Ddu Ridge (Carnedd Moel Siabod),53.07300,-3.93400,Gwynedd,Grade-1,Carnedd Moel Siabod,ridges_ewi,"Grade 1 scramble · Carnedd Moel Siabod · ★★

The route begins by Llyn y Foel to the east of Moel Siabod's summit. If approaching by the miners' track from Pont Cyfyng (A5) the bog by Llyn y Foel can be avoided by walking further up to the back of the cwm and taking a convenient terrace around to the start of the ridge.  All difficulties can be avoided by a path or deviations, but a lot of scrambling can be had by seeking out the best rock. The ridge emerges by the trig point.

Rockfax: A great scramble up the sunny south face of the mountain with an excellent outlook. The scrambling is generally easy and any difficulty is mostly avoidable apart from one long and exposed step at the top of the ridge. 
1) The ridge curves up and to the right towards the summit. Follow this as directly as you want, with occasional easy steps, until the scrambling gets a little harder towards the top.
2) The final step is easy but quite exposed. If too exposed then easier terrain can be found to the left of the crest.
Descent - From the summit, go back down the East Ridge of Moel Siabod.",https://www.ukclimbing.com/logbook/crags/carnedd_moel_siabod-1916/daear_ddu_ridge-51005
Dolmen Ridge (Glyder Fach),53.10435,-4.00876,Gwynedd,Grade-3,Glyder Fach,british_3_star+ew_classics+ridges_ewi,"Grade 3 scramble · Glyder Fach · ★★★

Mostly a grade 2 scramble

Rockfax: Dolmen Ridge is the final part of the Glyder Fach trilogy and is one of the most sought after scrambles in North Wales. The crux is exposed and on immaculate rock but its seriousness has given the route an air of notoriety.
Approach - Go right underneath Alphabet Slabs. Continue along the base of the crag passing below East Gully and past West Gully. This defines the right edge of The Dolmen Buttress, where a Quartz band arcs across the lower wall.
1) From below the quartz band, scramble up to the right side of the gully, heading diagonally rightwards away from the gully on well-travelled ground. After 20m or so, start to zig back up and left to reach the rib of the gully. 
2) Ascend the stepped ribs to easier ground and trend right before heading up to a grass/scree bay just above a narrowing of the gully. From here you should be able to see where the route traverses left along a rampline to reach the crest of the Dolmen Buttress.
3) Traverse out left from the gully along a rampline to gain the left arete of Dolmen Buttress almost half-way up it by some small spikes. 
4) The next section is one of the hardest and most sustained in this guide but the rock is immaculate. The line follows a well-travelled slabby groove to the top edge of the buttress. 
5) From here, go up the ridge past the Dolmen (a rock balanced on others like a burial cairn). Carry on up following your nose as the terrain is generally easier clambering over boulders.",https://www.ukclimbing.com/logbook/crags/glyder_fach-494/dolmen_ridge-57029
Dolmen Ridge Direct Start (Glyder Fach),53.10469,-4.00921,Gwynedd,Grade-3,Glyder Fach,british_3_star,"Grade 3 scramble · Glyder Fach · ★★★

Rockfax: The direct start to Dolmen Ridge adds a little more difficult climbing before reaching the main buttress. Start just to the left of West Gully.
1) Move up and left through broken, rocky and grassy ground to reach a grassy bay below the steep twin-pinnacled tower.
2) From the bay to the right, step up onto a ledge below the pinnacles. A hard and committing pull up on positive holds leads to a sloping platform. 
3) Cross the sloping grassy and quartz bay to the bottom right edge of Dolmen Buttress above you. 
4) Move right into West Gully and then head up to gain the line of Dolmen Ridge.",https://www.ukclimbing.com/logbook/crags/glyder_fach-494/dolmen_ridge_direct_start-602541
East Gully Ridge (Glyder Fach),53.10511,-4.00905,Gwynedd,M,Glyder Fach,british_3_star+ew_classics+ridges_ewi,"Moderate (easy rock climb) · Glyder Fach · ★★★

Start to the right of alphabet slab inside east gully left wall where streaks of quarts are climb up to the rib overlooking east gully

Rockfax: Classic hard scrambling on the Glyder Fach - North Face. Start to the right of the Alphabet Slab just left of East Gully. 
1) Go up into the gully to where it becomes steep and damp. Move out left along a seam of quartz, which leads strenuously to a small ledge and spike belay. 
2) Step right and head up through steep terrain, meandering around to find the easiest line, to reach a much larger terrace. This point can be gained by traversing in from Main Gully, if this looks too hard, as the rest of the route is easier.
3) From below a ridge, take the tricky right edge to a notch below a thinner rib. Climb this on good holds for 30m to a level area. 
4) Above are some blocks. Clamber over these for 10m to a another notch, by some piled blocks.
5) Jam up the short hand-crack to get stood on a spike at its top. Head up and left to a narrow ledge. The climbing eases here and leads you to a block belay below a notch.
6) Above you converge with Main Gully Ridge as it comes in from the left, and just above you merge with East Gully.",https://www.ukclimbing.com/logbook/crags/glyder_fach-494/east_gully_ridge-538108
East Ridge of Y Garn,53.11560,-4.04740,Gwynedd,Grade-2,Y Garn,ew_classics+ridges_ewi,"Grade 2 scramble · Y Garn · ★★

Rockfax: A good route with an excellent start and finish. The initial ridge has some fantastic quartz nodules, but it can be avoided.
1) The blunt ridge is climbable in many places. Pick a route and climb the quartz nodules to reach a steeper buttress.
2) A gangway takes you right to an exposed traverse to gain some flat insecure holds heading up a depression. Alternatively, climb the steep juggy groove on the left at grade 3. 
2a) Avoid this section altogether by following grassy ledges to the left of the ridge.
3) Above the initial buttress, the going is easier with a few steps which can be taken or avoided as you desire. Before too long you reach the hanging cwm where you head up and left towards the main tower.
4) The tower is short but exposed. Avoid the direct start by heading round the left side before going up, returning to the crest of the ridge as soon as you can. 
5) Follow the ridge in an exposed position to where it levels out just before the top.
6) A final obstacle is overcome via some cracks and a corner on the right. Follow the edge round to the summit of Y Garn.
Descent - Go down the Northeast Ridge of Y Garn or drop back in the other direction down The Devil's Kitchen (p.182).",https://www.ukclimbing.com/logbook/crags/y_garn_gwynedd-2873/east_ridge_of_y_garn-51008
Idwal Buttress (Cwm Idwal [Idwal Slabs]),53.10940,-4.02540,Gwynedd,Grade-2,Cwm Idwal [Idwal Slabs],ew_classics,"Grade 2 scramble · 400m · Cwm Idwal [Idwal Slabs] · ★

Ref ""North Wales Scrambles"" by Garry Smith: starts on slab to the right of Idwal Staircase.  At the top of this slab, walk up the grassy section to start the next slab, heading through the quartz bands to the notch at the top of the slab



(Also listed as a Diff climbing route)",https://www.ukclimbing.com/logbook/crags/cwm_idwal-496/idwal_buttress-462452
Idwal Staircase/Continuation (Idwal Slabs),53.10990,-4.02540,Gwynedd,Grade-3,Idwal Slabs (aka Cwm Idwal),british_3_star,"Grade 3 scramble · Idwal Slabs (aka Cwm Idwal) · ★★★

Rockfax: This route has an atmospheric start up the initial gully staircase, although the better section is the upper wall. Start in the damp confines of the gully to the right of the slabs below some intimidating rock formations on the right wall.
1) Climb the gully (nearly always damp) to where it opens out, then go up to a more defined grassy terrace and traverse left to below another buttress.
2) Go up towards a large spike at about 12m and then start following a line of weakness up and right. Where the angle of the rock eases, aim for the tower with a steep wall of striated cracks on the left above a stepped rampline leading up below the steep wall.
3) From the base of the steep striated wall, go up the stepped rampline. Here you may want to go direct up the corner, but is often too hard. Instead step around the rib on the right before heading up and left to a grassy terrace.
4) Move left along the terrace to where the way ahead is blocked by a series of small rock steps and scramble over these to a grassy knoll/shoulder about 30m above Cwm Cneifion.
Descent or continuation - Continue up Senior's Ridge or Cneifion Arete. You can also walk off down from Cwm Cneifion.						© Rockfax

UKC Logbook Description

Begin to the right of the main slabs up the overhung black gully. A stream nearly always runs down this. Climb up using small ledges as footholds and step left at a jammed boulder. Continue to emerge on open ground. Walk up aiming for some vaguely orange rocks just left of a vegetated gully. Pick any line and scramble up. Terraces allow lateral movement to avoid difficulties but some steps are tricky and exposed. Keep scrambling to come out on Seniors' Ridge.",https://www.ukclimbing.com/logbook/crags/idwal_slabs_aka_cwm_idwal-496/idwal_staircasecontinuation-50983
Little and North Gullies (Tryfan),53.11500,-3.99843,Gwynedd,Grade-1,Tryfan,ew_classics,"Grade 1 scramble · Tryfan · ★★

Starts on Heather Terrace, 20m beyond North Gully a path leads up to a small gully (Little Gully). Climb several easy gully pitches then follow a path leading into North Gully, overcoming one step. Go up the gully using rock on the right to gain the Amphitheatre below the summit. Climb the last narrow gully section and climb out (left) onto the North Ridge.

Rockfax: A gem of a route. On first acquaintance it seems impossible for the grade, but somehow manages to avoid any hard scrambling all the way to the summit where it tops out between Adam and Eve! An added bonus is that once you have climbed it once, it makes a good descent route from the summit for the other routes. Follow Heather Terrace to below North Gully. About 10m further along is a large boulder and just past this is a path leading to a grassy platform above. At the top left of this platform is a groove - this is the start of Little Gully. 
1) Climb up the groove and escape right when the going gets tough to a short exposed section before you rejoin the gully. Several more steps in the gully are taken direct.
2) At the top of the last step, the path flattens off and starts to head towards the now more open North Gully above its unpleasant bottom section. Make your way across the gully and follow a track below a wall on the right to gain the upper bay where you meet the grassy track of the Eastern Terrace that heads out left below a headwall.
3) Follow the path into the broken rocky gully on the left which has a single steep step at its top. You are now on a prominent shoulder just below Adam and Eve on the summit of Tryfan. 
4) Head round and to the left, to below a long thin slab split by a crack that leads back up and right to the summit.",https://www.ukclimbing.com/logbook/crags/tryfan-491/little_and_north_gullies-50977
Lliwedd Traverse to Snowdon (Y Lliwedd),53.05915,-4.05618,Gwynedd,Grade-1,Y Lliwedd,ridges_ewi,"Grade 1 scramble · Y Lliwedd · ★★★

Rockfax: A real gem of a route. It has a scrambling grade but it only just warrants it and, on the section on the descent to Bwlch Ciliau, you can avoid the scrambling by keeping to the left of the rock. The summit ridge is very exposed on one side with one of the largest cliffs in Snowdonia below you, but the hillside leads gently down to the Gwynant Valley on the other. 
1) From Pen y Pass carpark, walk due south to join the start of The Miner's Track. Follow this round the hillside past Llyn Teyrn to just before the causeway across Llyn Llydaw. 
2) Turn left off The Miner's Track towards a pump house at the edge of the lake and follow a smaller path across some bridges before the path turns left and up the hillside.
3) After 200m the path flattens out over a small knoll before continuing up and across the hillside to a short rocky section that leads up to the Lliwedd ridge line. The easiest way to breach this is to walk below the final steepening to a small gully that leads up the right side of the rock before the hillside turns more broken and heathery.
4) From the ridge, follow the more distinct path along and over Lliwedd Bach, beyond which you see Lliwedd in all its glory. A short scramble leads up to the east peak.
5) Easy walking takes you over west peak and onto more complex terrain down to Bwlch Ciliau. The easiest way off is to the south of the main ridge (see inset right) where you can avoid the rocky steps via a path. You can also descend the ridge proper, which is grade 1. 
6) From Bwlch Ciliau, join the Watkin Path where the path now flattens off and more or less contours to Bwlch y Saethau.
7) Beyond here the path becomes harder going as it picks its way across the screes of the South Face of Snowdon. This is the scene of several accidents a year and care is needed. The path terminates at a finger stone on the South Ridge where it is a short walk to the top.
Descent - Either reverse the route or head down The PYG Track or The Miner's Track (p.88) to get back to Pen y Pass. If you reverse the route, it is important not to descend straight down from the summit but head down the South Ridge to the finger stone that marks the start of traverse across the South Face.",https://www.ukclimbing.com/logbook/crags/y_lliwedd-1214/lliwedd_traverse_to_snowdon-51032
Main Gully Ridge (Glyder Fach),53.10469,-4.00759,Gwynedd,Grade-3,Glyder Fach,british_3_star,"Grade 3 scramble · 70m · Glyder Fach · ★★★

Also listed as a moderate rock climb in the Climbers Club Ogwen guidebook.

Rockfax: A pleasant short and technical route that takes on the blunt arete to the right of Main Gully. Start by walking up to the left of the prominent triangle of the Alphabet Slab to below the gully. Start up main gully and, before it gets steep, go right along a terrace across the top of the Alphabet Slab. 
Direct Start - The climbing route Beta (3+) Gains this point via the Alphabet Slab for those with more experience.
1) From some spikes, make a rising traverse rightwards to gain a block on the edge of the ridge. A move onto a second block leads onto a grassy area.
2) Take the left side of the grassy area to a level area on top of an embedded plinth. 
3) Direct above is an impasse, so go right up the rift then exit up a chimney to gain East Gully Ridge for the last few moves, then on to East Gully.",https://www.ukclimbing.com/logbook/crags/glyder_fach-494/main_gully_ridge-58492
Nantlle Ridge,53.03630,-4.18370,Gwynedd,Grade-1,Nantlle,british_3_star+ridges_ewi,"Grade 1 scramble · Nantlle · ★★★

A superb linear ridge traverse over the peaks west of Yr Wyddfa — Y Garn, Mynydd Drws-y-coed and Trum y Ddysgl — with short, airy scrambling sections and huge views over the Nantlle valley. Usually done with a two-car or bus return.",https://www.ukclimbing.com/logbook/crags/nantlle-3151/nantlle_ridge-52399
Needle's Eye Arete / North Arete (Foel Goch 831m),53.13030,-4.05130,Gwynedd,Grade-3,Foel Goch 831m (Glyderau),ridges_ewi,"Grade 3 scramble · 331m · Foel Goch 831m (Glyderau) · ★

Approach from Ogwen Cottages along the old Nant Ffrancon Road. Follow the footpath from the bridge diagonally across the hillside to the base of the cliff.



The scramble starts just to the right of the obvious East Gully (SH 635 612) at a large quartz topped buttress. Continue up, following the ridge line. At times intimidating steep walls appear which can all be skirted if chosen. Be wary of the significant exposure as you look over East Gully if sneaking around to the left. 



The ridge peters out into a grassy shoulder but don't loose focus as a final bit of harder scrambling up and around a fin of rock finishes the route. If wanted, this can be skipped by following the faint track leading rightwards.

Rockfax: An esoteric and adventurous line up a remote buttress. Care is needed with loose rock and this should only be attempted by experienced parties in dry conditions. From the parking, go diagonally right up the hillside to just before a gully with the remains of a drystone wall on the other side of the gully. Zig-zag up the hillside until you can cut across to the base of a scree shoot. Cross the fence and follow it up the right side of the scree. Cut across to gain a grass/heather rib on the left side of a prominent V-gully of scree. Ascend the rib to a path and traverse left on this briefly. Then head up another grassy rib to between two small buttresses of rock. Go up the gully in between to below a smaller buttress with a quartz plate on it.
1) Directly above is the arete, but the route starts up the gully to its right. Head right over a spur and descend 20m down and right to another spur at the base of a left-trending gully.
2) Gain the gully from the left via a short exposed step. The gully is rather dank. When possible head up and left to the rib below a steepening. Grovel to the right round this below an overhang to reach a heathery runnel that heads back up towards the rib to a notch. This section to the notch is adventurous with few runners or belays and is best tackled with a 50m rope. 
3) The climbing improves from here. Go up the slab to the exposed rib and cross this and the arete to reach a hole in the rock. The 'Needle Eye' which makes a great thread belay. 
4) Above this sanctuary it feels like the rock is akin to a giant Jenga stack but, despite this appearance, the blocks seem fairly well keyed-in. An easier but less satisfying option is traversing left from the needle across the heather before a short step regains the arete.
5) Continue up the arete past another step before tackling some pinnacles. After a further couple of steps the arete blends into the hillside and the scrambling comes to an end. 
Descent - Carry on up the main ridge to the summit of Foel-goch. From here you can descend back via Llyn y Cwm and The Devil's Kitchen. Alternatively, follow a rib down and to right (facing out) to just below the North East Ridge of Y Garn then traverse back across to gain the approach walk.",https://www.ukclimbing.com/logbook/crags/foel_goch_831m_glyderau-9534/needles_eye_arete__north_arete-444949
Nor' Nor' Buttress Variant (Tryfan),53.11535,-3.99701,Gwynedd,Grade-3,Tryfan,british_3_star,"Grade 3 scramble · 200m · Tryfan · ★★★

Rockfax: Another plumb line of the East Face. Follow Heather Terrace to the base of Nor' Nor' Gully. 
1) From the base of the gully, climb up the chimney crack on the right - hard to start and reaches a ledge. Continue up and right along a narrow ledge on a slab and head up to a heathery ledge.
2) Continue up rock near the rib that almost overlooks Nor' Nor' Gully. Go past a couple of small ledges to reach a more open heather area. Just below where it gets steep and more like rock climbing escape left into Nor' Nor' Gully. That upper rib on the right you are avoiding can be climbed at Diff.
3) Head up the gully keeping to the right over scree and then more rock and heather. Pass to the right where it forks to reach a slab boulder. Make an awkward move over the slabby boulder then be careful not to miss the exit rightwards from the confines of the gully over some wedged blocks to enter a chimney cleft. This brings you out on the rib above the hard section.
4) Move up and around to the top of the pinnacle that makes the right side of the cleft and then step across the cleft you have just climbed from its top. Now continue more or less direct up the buttress to the Eastern Terrace. 
5) You can either head up the gully to gain The North Ridge of Tryfan or follow the Eastern Terrace left. You can also go back down the Eastern Terrace to join The North Ridge of Tryfan below the North Tower for a good link-up.",https://www.ukclimbing.com/logbook/crags/tryfan-491/nor_nor_buttress_variant-65209
North Ridge (Crib Goch),53.07550,-4.05490,Gwynedd,Grade-2,Crib Goch,ew_classics,"Grade 2 scramble · Crib Goch · ★★

the fine ridge narrows and steepens as it climbs.

Rockfax: This way of reaching Crib Goch is a little scrappier than the standard East Ridge approach, but it does offer slightly more demanding scrambling and extends the knife-edge feel of the experience. Used as a descent in combination with an ascent of The Parson's Nose and the traverse of Crib Goch makes for one of the more intense and extreme scrambling horseshoes in Snowdonia. From the lay-by by the Cromlech Boulders half-way up the Llanberis Pass, walk up the road and across the Pont y Gromlech bridge. Head through the gate on the right and follow a path up below a small craglet to a gully at its right-hand end and a stile over a drystone wall. 
Follow the path over a knoll, heading towards Pen y Pass. At another stile over the next drystone wall, turn right and head uphill towards another stile over a drystone wall between two more craglets. Follow the path up and right out of the bay.
Continue in the same direction, following your nose either around or over some craglets. The path becomes a little indistinct, but as you head into the open bay of Cwm Beudy Mawr, it cuts back right over the top of a slab of rock. Wind back up to the left to reach the base of the prominent rocky scree of the North Ridge of Crib Goch.
A more distinctive path leads up through the red scree to gain the start of the rocky ridge. The views down the Pass are breathtaking, so don't forget to turn around to take it all in.
1) The ridge carries on gently for a few hundred metres before it turns steeply up towards the main ridge of Crib Goch. Care is needed here as the rock is slightly loose and untravelled, but in the main it is fine. The line weaves from one side of the ridge to the other, but generally hugs the crest throughout to its junction with the main Crib Goch ridge.
Descent - Either turn left and descend the East Ridge of Crib Goch, or carry on along Crib Goch and Crib y Ddysgl. If you need to descend back to the car by the Cromlech Boulders then following the Gyrn Las Ridge down from the summit of Garnedd Ugain is the best option to make a more substantial circular walk.",https://www.ukclimbing.com/logbook/crags/crib_goch-2032/north_ridge_summer-157137
Notch Arete (Tryfan),53.11450,-3.99760,Gwynedd,Grade-3,Tryfan,british_3_star,"Grade 3 scramble · 127m · Tryfan · ★★★

Rockfax: An amazing route that is worth seeking out as part of a link-up. It starts way up the West Face which is most easily reached by following The North Ridge of Tryfan to just below the North Tower and then scrambling down and right until below the arete. Then scramble up and right either direct (hard), or traverse right into the gully and then cut left to the large platform where the true arete starts. Use this right-hand approach for V Arete and Y Gully.
1) From the left-hand end of the platform, climb up to the left of the chimney to gain a ledge and blocks. 
2) Go straight up to the arete above. Follow this direct in about four pitches. Some of the finest scrambling in Snowdonia.
Continuation - Go up or down North Ridge of Tryfan .",https://www.ukclimbing.com/logbook/crags/tryfan-491/notch_arete-192238
Pinnacle Rib Variant (Tryfan),53.11465,-3.99819,Gwynedd,M,Tryfan,british_3_star,"Moderate (easy rock climb) · 165m · Tryfan · ★★★

Scramblers' variant of Pinnacle Rib, avoiding the Yellow Slabs and Thompson's Chimney.

Rockfax: This is a scrambling variation to Overlapping Ridge Route. This variation avoids the Yellow Slab and Thompson's Chimney. The scramble offers sustained climbing with good rock and plenty of opportunity for belays. Its initial pitch is best avoided in damp conditions. Follow Heather Terrace to below the South Gully. Start 5m right of South Gully and 10m left of where 'FPR' scratched into the rock below a clean V-groove. Take care since 'FPR' is also etched deeply at the base of Pinnacle Rib Route to confuse matters. 
1) Climb the V-groove which is hard and sustained until about half way up - here you can escape onto the right rib. Climb this to a ledge which allows you to regain the groove which is then followed to its top.
2) From the belay at the top of the groove, trend up and right over polished rock, going left of a perched block, and then heading up to the infamous pinnacle. 
3) The Yellow Slab goes up behind this. For this version, go right to an open groove and climb this trending left at the top to reach easier ground. 
4) Follow the curving rib to easier ground and a shoulder below and left of the cleft of Thompson's Chimney. Avoid this by skirting right on an easier near-walking route that zig-zags to the top of the chimney and the Eastern Terrace traversing path. Follow this until under the summit.
5) Either take the short hand-crack up to the summit, or head left to where Little and North Gullies goes up and right on a slab to the summit.",https://www.ukclimbing.com/logbook/crags/tryfan-491/pinnacle_rib_variant-487431
Pinnacle Ridge Route (Craig Braich Ty Du),53.13770,-4.01410,Gwynedd,VD,Craig Braich Ty Du (Pen yr Ole Wen),ridges_ewi,"Very Difficult (easy rock climb) · 101m · Craig Braich Ty Du (Pen yr Ole Wen) · ★★

A four pitch climb with easy access from the road and fun and interesting moves. 1) 30m. Start on a slabby rib which has PR scratched onto it, about 50m? up from the road. Delicate start on small holds. Some tricky moves if in boots. Awkward move into a groove formed on the side of a large block to a possible belay (good, we used it). Or continue more or less straight up and belay on a ledge with spike belays. (This might be the same thing - guidebook is a little confusing)

2) 22m. Continue up a groove for 10m to a heather terrace. Scramble up to reach a sloping heathery ledge with spike belay.

3) 23m. Traverse up and right over heather and rock to just below the continuing ridgeline. (Possible belay if rope drag is a problem.) Good holds lead up to the ridge and a ledge with spike belay.

4) 23m. Climb up to a small ledge below the first pinnacle. (The grade 2 scramble enters from the right about here.) Climb the 3m wall using big flaky holds to end up at the base of the first pinnacle. Climb up and over the pinnacles. (Getting down the first pinnacle's other side is tricky for the short. Can avoid it easily, but it is fun!) After the second big slender pinnacle, climb up a rocky step to a heathery grassy shoulder.



Looked for the loose block previously mentioned on pitch 2.  Could not see it presume someone has removed it.  Good 1st pitch, great atmospheric 4th pitch!

Rockfax: A fun outing that lies close to the A 5 and catches sun for much of the day. The first pitch has lovely rock and the final traverse negotiates some interesting gendarmes not unlike an alpine ridge. Start at the base of the ridge close to the letters 'PR' scratched in the rock.
1) 40m. Follow the right-hand of the two ribs on wonderful clean rock to a steep blocky section that leads to a heathery terrace. This point can be reached by a Grade 2 scramble from the right.
2) 15m. Follow easier ground to a good spike belay on a ledge.
3) 22m. Traverse right and climb the ridge to another ledge.
4) 20m. Follow the crested ridge on its left-hand side for the VD (Grade 2 scramble on right side) to gain easy ground.",https://www.ukclimbing.com/logbook/crags/craig_braich_ty_du_pen_yr_ole_wen-525/pinnacle_ridge_route-38373
